,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
1954,17007.0,2022-11-18,2022-11-20,[2],2.0,0.0,1
1955,17009.0,2022-11-18,2022-11-18,[],,,0
1956,17013.0,2022-12-04,2022-12-04,[],,,0
1957,17018.0,2023-03-13,2023-09-03,[174],174.0,0.0,1
1958,17019.0,2022-11-19,2023-01-11,"[26, 25, 2]",17.666666666666668,11.08552609887726,3
1959,17023.0,2023-08-29,2023-08-29,[],,,0
1960,17024.0,2023-11-13,2023-11-13,[],,,0
1961,17029.0,2022-11-19,2022-11-19,[],,,0
1962,17031.0,2022-11-19,2022-11-19,[],,,0
1963,17041.0,2023-06-11,2023-06-11,[],,,0
1964,17047.0,2022-11-20,2023-03-21,[121],121.0,0.0,1
1965,17062.0,2023-01-06,2023-10-01,"[164, 59, 45]",89.33333333333333,53.105764491458196,3
1966,17067.0,2022-11-20,2022-12-30,"[11, 29]",20.0,9.0,2
1967,17068.0,2022-11-20,2024-05-30,"[5, 2, 79, 23, 13, 6, 50, 24, 8, 6, 72, 27, 60, 17, 165]",37.13333333333333,42.050551588402364,15
1968,17072.0,2022-11-21,2024-05-27,[553],553.0,0.0,1
1969,17077.0,2022-11-21,2023-02-12,"[46, 37]",41.5,4.5,2
1970,17083.0,2022-11-21,2022-11-21,[],,,0
1971,17087.0,2023-01-09,2023-01-09,[],,,0
1972,17091.0,2022-11-22,2024-05-02,"[19, 64, 244, 200]",131.75,92.95260889291919,4
1973,17094.0,2022-11-21,2022-11-21,[],,,0
1974,17098.0,2022-11-27,2023-03-26,"[1, 118]",59.5,58.5,2
1975,17099.0,2022-11-23,2022-11-23,[],,,0
1976,17100.0,2022-11-22,2022-11-22,[],,,0
1977,17102.0,2022-12-29,2023-01-27,[29],29.0,0.0,1
1978,17105.0,2022-11-22,2022-11-22,[],,,0
1979,17123.0,2022-11-23,2023-03-10,[107],107.0,0.0,1
1980,17132.0,2022-11-23,2024-10-12,"[5, 44, 16, 13, 497, 114]",114.83333333333333,174.77167644927164,6
1981,17134.0,2022-11-23,2022-11-23,[],,,0
1982,17137.0,2022-11-23,2022-11-23,[],,,0
1983,17138.0,2024-08-24,2024-08-24,[],,,0
1984,17150.0,2022-11-23,2024-06-03,"[7, 14, 8, 1, 6, 2, 14, 2, 5, 4, 28, 92, 28, 12, 2, 26, 20, 15, 29, 41, 13, 45, 20, 124]",23.25,28.57045385242127,24
1985,17151.0,2022-12-22,2024-01-15,"[8, 193, 180, 8]",97.25,89.36826897730536,4
1986,17164.0,2022-11-24,2023-08-24,"[25, 248]",136.5,111.5,2
1987,17167.0,2023-01-10,2023-09-16,[249],249.0,0.0,1
1988,17172.0,2022-11-24,2022-12-23,[29],29.0,0.0,1
1989,17176.0,2022-11-24,2022-12-12,[18],18.0,0.0,1
1990,17182.0,2022-11-24,2022-11-24,[],,,0
1991,17185.0,2022-12-22,2023-08-18,"[8, 5, 17, 7, 1, 1, 1, 5, 3, 1, 6, 2, 31, 36, 86, 29]",14.9375,21.547821090541845,16
1992,17190.0,2023-07-05,2023-09-15,[72],72.0,0.0,1
1993,17194.0,2022-11-25,2022-11-25,[],,,0
1994,17195.0,2022-11-25,2022-11-25,[],,,0
1995,17199.0,2023-05-02,2023-05-03,[1],1.0,0.0,1
1996,17208.0,2023-01-12,2023-01-12,[],,,0
1997,17209.0,2022-11-25,2022-11-25,[],,,0
1998,17211.0,2023-03-16,2023-08-20,"[58, 8, 37, 54]",39.25,19.68978161382193,4
1999,17212.0,2022-11-25,2022-11-25,[],,,0
2000,17214.0,2022-11-25,2023-02-14,"[1, 6, 2, 4, 45, 21, 2]",11.571428571428571,15.069905136274963,7
2001,17221.0,2022-11-26,2022-11-26,[],,,0
2002,17222.0,2022-11-26,2022-11-26,[],,,0
2003,17223.0,2022-11-26,2022-11-26,[],,,0
2004,17224.0,2022-11-26,2022-11-26,[],,,0
2005,17226.0,2022-11-26,2022-11-26,[],,,0
2006,17228.0,2022-11-26,2022-11-26,[],,,0
2007,17229.0,2022-11-26,2022-11-26,[],,,0
2008,17232.0,2022-11-26,2022-11-26,[],,,0
2009,17234.0,2023-03-12,2023-03-12,[],,,0
2010,17235.0,2022-11-26,2024-07-26,"[59, 28, 156, 4, 17, 101, 85, 71, 87]",67.55555555555556,44.55735657207862,9
2011,17237.0,2022-11-26,2022-11-26,[],,,0
2012,17241.0,2022-11-26,2022-12-31,"[4, 31]",17.5,13.5,2
2013,17242.0,2022-11-26,2022-11-26,[],,,0
2014,17245.0,2023-01-03,2023-01-17,"[7, 7]",7.0,0.0,2
2015,17248.0,2022-11-27,2022-11-27,[],,,0
2016,17251.0,2022-11-28,2022-11-28,[],,,0
2017,17252.0,2022-11-27,2022-11-27,[],,,0
2018,17254.0,2022-12-08,2022-12-08,[],,,0
2019,17255.0,2022-12-05,2022-12-05,[],,,0
2020,17260.0,2022-11-27,2022-11-27,[],,,0
2021,17264.0,2023-01-26,2023-01-26,[],,,0
2022,17265.0,2023-07-08,2023-11-22,[137],137.0,0.0,1
2023,17269.0,2023-01-21,2023-01-21,[],,,0
2024,17274.0,2022-11-29,2022-11-29,[],,,0
2025,17286.0,2022-11-28,2022-11-28,[],,,0
2026,17289.0,2022-11-28,2022-12-27,[29],29.0,0.0,1
2027,17294.0,2022-11-28,2022-11-28,[],,,0
2028,17295.0,2023-01-14,2023-01-14,[],,,0
2029,17299.0,2023-11-22,2023-11-22,[],,,0
2030,17312.0,2022-12-08,2023-07-31,"[13, 7, 1, 1, 6, 1, 3, 2, 8, 1, 7, 3, 4, 3, 2, 9, 5, 1, 13, 1, 3, 3, 1, 29, 3, 2, 16, 3, 10, 7, 6, 9, 52]",7.121212121212121,9.744485855670796,33
2031,17314.0,2022-11-28,2022-11-28,[],,,0
2032,17317.0,2022-11-28,2022-11-28,[],,,0
2033,17318.0,2022-11-30,2023-04-16,"[5, 5, 13, 7, 67, 22, 18]",19.571428571428573,20.296777667242388,7
2034,17319.0,2022-11-28,2023-11-25,"[40, 39, 4, 115, 94, 55, 15]",51.714285714285715,37.27777693292914,7
2035,17321.0,2022-11-28,2022-12-18,[20],20.0,0.0,1
2036,17322.0,2022-12-30,2023-12-17,"[3, 27, 85, 42, 13, 1, 17, 164]",44.0,51.95430684745972,8
2037,17327.0,2022-11-29,2023-07-11,"[2, 4, 218]",74.66666666666667,101.35526078546138,3
2038,17332.0,2024-06-17,2024-06-17,[],,,0
2039,17338.0,2022-11-29,2023-05-02,"[5, 8, 1, 6, 12, 27, 4, 7, 30, 7, 7, 5, 10, 18, 5, 2]",9.625,8.130767183974708,16
2040,17356.0,2023-01-31,2023-02-11,"[7, 4]",5.5,1.5,2
2041,17359.0,2023-02-10,2023-02-10,[],,,0
2042,17361.0,2023-05-12,2023-11-23,"[95, 3, 97]",65.0,43.84822307308093,3
2043,17366.0,2022-11-29,2022-11-29,[],,,0
2044,17368.0,2022-11-29,2023-04-09,"[15, 59, 11, 46]",32.75,20.327014045353536,4
2045,17370.0,2022-11-30,2022-11-30,[],,,0
2046,17375.0,2022-11-29,2023-04-07,[129],129.0,0.0,1
2047,17379.0,2022-11-30,2022-11-30,[],,,0
2048,17384.0,2022-11-30,2023-01-20,[51],51.0,0.0,1
2049,17396.0,2023-05-10,2023-05-10,[],,,0
2050,17404.0,2022-12-08,2023-12-31,"[22, 1, 27, 1, 2, 89, 57, 14, 17, 4, 23, 97, 4, 8, 22]",25.866666666666667,29.83927315170767,15
2051,17407.0,2022-12-19,2023-04-22,"[8, 9, 13, 11, 44, 6, 17, 16]",15.5,11.346805717910216,8
2052,17420.0,2022-11-30,2022-11-30,[],,,0
2053,17422.0,2022-11-30,2022-11-30,[],,,0
2054,17424.0,2023-01-16,2023-01-16,[],,,0
2055,17427.0,2022-12-01,2024-08-23,"[43, 588]",315.5,272.5,2
2056,17437.0,2022-12-01,2022-12-01,[],,,0
2057,17443.0,2022-12-01,2022-12-01,[],,,0
2058,17449.0,2023-01-08,2023-05-31,"[8, 13, 31, 91]",35.75,33.025558284456,4
2059,17450.0,2023-01-15,2023-01-15,[],,,0
2060,17467.0,2023-01-13,2023-01-13,[],,,0
2061,17468.0,2022-12-01,2022-12-01,[],,,0
